tissue,subTissues
1,Heart,Heart_cardiacmusclecell
2,Heart,Heart_cardiacmusclecell
3,Heart,Heart_cardiacmusclecell
4,Heart,Heart_cardiacmusclecell
5,Heart,Heart_cardiacmusclecell
6,Heart,Heart_cardiacmusclecell
7,Heart,Heart_cardiacmusclecell
8,Heart,Heart_cardiacmusclecell
9,Heart,Heart_cardiacmusclecell
10,Heart,Heart_cardiacmusclecell
11,Heart,Heart_cardiacmusclecell
12,Heart,Heart_cardiacmusclecell
13,Heart,Heart_cardiacmusclecell
14,Heart,Heart_cardiacmusclecell
15,Heart,Heart_cardiacmusclecell
16,Heart,Heart_cardiacmusclecell
17,Heart,Heart_cardiacmusclecell
18,Heart,Heart_cardiacmusclecell
19,Heart,Heart_cardiacmusclecell
20,Heart,Heart_cardiacmusclecell
21,Heart,Heart_cardiacmusclecell
22,Heart,Heart_cardiacmusclecell
23,Heart,Heart_cardiacmusclecell
24,Heart,Heart_cardiacmusclecell
25,Heart,Heart_cardiacmusclecell
26,Heart,Heart_cardiacmusclecell
27,Heart,Heart_cardiacmusclecell
28,Heart,Heart_cardiacmusclecell
29,Heart,Heart_cardiacmusclecell
30,Heart,Heart_cardiacmusclecell
31,Heart,Heart_cardiacmusclecell
32,Heart,Heart_cardiacmusclecell
33,Heart,Heart_cardiacmusclecell
34,Heart,Heart_cardiacmusclecell
35,Heart,Heart_cardiacmusclecell
36,Heart,Heart_cardiacmusclecell
37,Heart,Heart_cardiacmusclecell
38,Heart,Heart_cardiacmusclecell
39,Heart,Heart_cardiacmusclecell
40,Heart,Heart_cardiacmusclecell
41,Heart,Heart_cardiacmusclecell
42,Heart,Heart_cardiacmusclecell
43,Heart,Heart_cardiacmusclecell
44,Heart,Heart_cardiacmusclecell
45,Heart,Heart_cardiacmusclecell
46,Heart,Heart_cardiacmusclecell
47,Heart,Heart_cardiacmusclecell
48,Heart,Heart_cardiacmusclecell
49,Heart,Heart_cardiacmusclecell
50,Heart,Heart_cardiacmusclecell
51,Heart,Heart_cardiacmusclecell
52,Heart,Heart_cardiacmusclecell
53,Heart,Heart_cardiacmusclecell
54,Heart,Heart_cardiacmusclecell
55,Heart,Heart_cardiacmusclecell
56,Heart,Heart_cardiacmusclecell
57,Heart,Heart_cardiacmusclecell
58,Heart,Heart_cardiacmusclecell
59,Heart,Heart_cardiacmusclecell
60,Heart,Heart_cardiacmusclecell
61,Heart,Heart_cardiacmusclecell
62,Heart,Heart_cardiacmusclecell
63,Heart,Heart_cardiacmusclecell
64,Heart,Heart_cardiacmusclecell
65,Heart,Heart_cardiacmusclecell
66,Heart,Heart_cardiacmusclecell
67,Heart,Heart_cardiacmusclecell
68,Heart,Heart_cardiacmusclecell
69,Heart,Heart_cardiacmusclecell
70,Heart,Heart_cardiacmusclecell
71,Heart,Heart_cardiacmusclecell
72,Heart,Heart_cardiacmusclecell
73,Heart,Heart_cardiacmusclecell
74,Heart,Heart_cardiacmusclecell
75,Heart,Heart_cardiacmusclecell
76,Heart,Heart_cardiacmusclecell
77,Heart,Heart_cardiacmusclecell
78,Heart,Heart_cardiacmusclecell
79,Heart,Heart_cardiacmusclecell
80,Heart,Heart_cardiacmusclecell
81,Heart,Heart_cardiacmusclecell
82,Heart,Heart_cardiacmusclecell
83,Heart,Heart_cardiacmusclecell
84,Heart,Heart_endocardialcell
85,Heart,Heart_endocardialcell
86,Heart,Heart_endocardialcell
87,Heart,Heart_endocardialcell
88,Heart,Heart_endocardialcell
89,Heart,Heart_endocardialcell
90,Heart,Heart_endocardialcell
91,Heart,Heart_endocardialcell
92,Heart,Heart_endocardialcell
93,Heart,Heart_endocardialcell
94,Heart,Heart_endocardialcell
95,Heart,Heart_endocardialcell
96,Heart,Heart_endocardialcell
97,Heart,Heart_endocardialcell
98,Heart,Heart_endocardialcell
99,Heart,Heart_endocardialcell
100,Heart,Heart_endocardialcell
101,Heart,Heart_endocardialcell
102,Heart,Heart_endocardialcell
103,Heart,Heart_endocardialcell
104,Heart,Heart_endocardialcell
105,Heart,Heart_endocardialcell
106,Heart,Heart_endocardialcell
107,Heart,Heart_endocardialcell
108,Heart,Heart_endocardialcell
109,Heart,Heart_endocardialcell
110,Heart,Heart_endocardialcell
111,Heart,Heart_endocardialcell
112,Heart,Heart_endocardialcell
113,Heart,Heart_endocardialcell
114,Heart,Heart_endocardialcell
115,Heart,Heart_endocardialcell
116,Heart,Heart_endocardialcell
117,Heart,Heart_endocardialcell
118,Heart,Heart_endocardialcell
119,Heart,Heart_endocardialcell
120,Heart,Heart_endocardialcell
121,Heart,Heart_endocardialcell
122,Heart,Heart_endocardialcell
123,Heart,Heart_endocardialcell
124,Heart,Heart_endocardialcell
