mouse,well,type,sampleID
32,3_8_M,A7,B cell,A7.MAA000559.3_8_M.1.1
231,3_8_M,O20,B cell,O20.MAA000559.3_8_M.1.1
217,3_8_M,P16,B cell,P16.MAA000559.3_8_M.1.1
49,3_8_M,H11,B cell,H11.MAA000559.3_8_M.1.1
203,3_8_M,O8,B cell,O8.MAA000559.3_8_M.1.1
228,3_8_M,N15,B cell,N15.MAA000559.3_8_M.1.1
194,3_8_M,N3,B cell,N3.MAA000559.3_8_M.1.1
13,3_8_M,D19,B cell,D19.MAA000559.3_8_M.1.1
173,3_8_M,D13,B cell,D13.MAA000559.3_8_M.1.1
22,3_8_M,N7,B cell,N7.MAA000559.3_8_M.1.1
204,3_8_M,P10,B cell,P10.MAA000559.3_8_M.1.1
90,3_8_M,F11,B cell,F11.MAA000559.3_8_M.1.1
149,3_8_M,J5,B cell,J5.MAA000559.3_8_M.1.1
17,3_8_M,I11,B cell,I11.MAA000559.3_8_M.1.1
20,3_8_M,K18,B cell,K18.MAA000559.3_8_M.1.1
111,3_8_M,H19,B cell,H19.MAA000559.3_8_M.1.1
107,3_8_M,M11,B cell,M11.MAA000559.3_8_M.1.1
158,3_8_M,F19,B cell,F19.MAA000559.3_8_M.1.1
109,3_8_M,D3,B cell,D3.MAA000559.3_8_M.1.1
151,3_8_M,L14,B cell,L14.MAA000559.3_8_M.1.1
129,3_8_M,F17,B cell,F17.MAA000559.3_8_M.1.1
169,3_8_M,I3,B cell,I3.MAA000559.3_8_M.1.1
143,3_8_M,L13,B cell,L13.MAA000559.3_8_M.1.1
211,3_8_M,P12,B cell,P12.MAA000559.3_8_M.1.1
14,3_8_M,F3,B cell,F3.MAA000559.3_8_M.1.1
138,3_8_M,E15,B cell,E15.MAA000559.3_8_M.1.1
96,3_8_M,D2,B cell,D2.MAA000559.3_8_M.1.1
200,3_8_M,G3,B cell,G3.MAA000559.3_8_M.1.1
2,3_8_M,D17,B cell,D17.MAA000559.3_8_M.1.1
166,3_8_M,H2,B cell,H2.MAA000559.3_8_M.1.1
95,3_8_M,B21,B cell,B21.MAA000559.3_8_M.1.1
86,3_8_M,C22,B cell,C22.MAA000559.3_8_M.1.1
154,3_8_M,B2,B cell,B2.MAA000559.3_8_M.1.1
182,3_8_M,K13,B cell,K13.MAA000559.3_8_M.1.1
189,3_8_M,L18,B cell,L18.MAA000559.3_8_M.1.1
58,3_8_M,G11,B cell,G11.MAA000559.3_8_M.1.1
97,3_8_M,E8,B cell,E8.MAA000559.3_8_M.1.1
197,3_8_M,B8,B cell,B8.MAA000559.3_8_M.1.1
29,3_8_M,J16,B cell,J16.MAA000559.3_8_M.1.1
240,3_8_M,P5,B cell,P5.MAA000559.3_8_M.1.1
192,3_8_M,H5,B cell,H5.MAA000559.3_8_M.1.1
215,3_8_M,P13,B cell,P13.MAA000559.3_8_M.1.1
110,3_8_M,F14,B cell,F14.MAA000559.3_8_M.1.1
201,3_8_M,B9,B cell,B9.MAA000559.3_8_M.1.1
1,3_8_M,B10,B cell,B10.MAA000559.3_8_M.1.1
227,3_8_M,P21,B cell,P21.MAA000559.3_8_M.1.1
89,3_8_M,E5,B cell,E5.MAA000559.3_8_M.1.1
85,3_8_M,B20,B cell,B20.MAA000559.3_8_M.1.1
146,3_8_M,L12,B cell,L12.MAA000559.3_8_M.1.1
103,3_8_M,K3,B cell,K3.MAA000559.3_8_M.1.1
69,3_8_M,E3,B cell,E3.MAA000559.3_8_M.1.1
82,3_8_M,B19,B cell,B19.MAA000559.3_8_M.1.1
184,3_8_M,G2,B cell,G2.MAA000559.3_8_M.1.1
123,3_8_M,A21,B cell,A21.MAA000559.3_8_M.1.1
145,3_8_M,K7,B cell,K7.MAA000559.3_8_M.1.1
190,3_8_M,N1,B cell,N1.MAA000559.3_8_M.1.1
105,3_8_M,K2,B cell,K2.MAA000559.3_8_M.1.1
244,3_8_M,P8,B cell,P8.MAA000559.3_8_M.1.1
98,3_8_M,F13,B cell,F13.MAA000559.3_8_M.1.1
137,3_8_M,D9,B cell,D9.MAA000559.3_8_M.1.1
45,3_8_M,C17,B cell,C17.MAA000559.3_8_M.1.1
142,3_8_M,J3,B cell,J3.MAA000559.3_8_M.1.1
