mouse,well,type,sampleID
18,3_8_M,A20,bladder cell,A20.D041914.3_8_M.1.1
24,3_8_M,D16,bladder cell,D16.D041914.3_8_M.1.1
33,3_8_M,B15,bladder cell,B15.D041914.3_8_M.1.1
57,3_8_M,G18,bladder cell,G18.D041914.3_8_M.1.1
111,3_8_M,P20,bladder cell,P20.D041914.3_8_M.1.1
40,3_8_M,N15,bladder cell,N15.D041914.3_8_M.1.1
42,3_8_M,H21,bladder cell,H21.D041914.3_8_M.1.1
15,3_8_M,A18,bladder cell,A18.D041914.3_8_M.1.1
44,3_8_M,O20,bladder cell,O20.D041914.3_8_M.1.1
2,3_8_M,C18,bladder cell,C18.D041914.3_8_M.1.1
75,3_8_M,K17,bladder cell,K17.D041914.3_8_M.1.1
38,3_8_M,H19,bladder cell,H19.D041914.3_8_M.1.1
62,3_8_M,F15,bladder cell,F15.D041914.3_8_M.1.1
83,3_8_M,L20,bladder cell,L20.D041914.3_8_M.1.1
3,3_8_M,D22,bladder cell,D22.D041914.3_8_M.1.1
70,3_8_M,F16,bladder cell,F16.D041914.3_8_M.1.1
45,3_8_M,H22,bladder cell,H22.D041914.3_8_M.1.1
20,3_8_M,A22,bladder cell,A22.D041914.3_8_M.1.1
35,3_8_M,P22,bladder cell,P22.D041914.3_8_M.1.1
26,3_8_M,D18,bladder cell,D18.D041914.3_8_M.1.1
14,3_8_M,A17,bladder cell,A17.D041914.3_8_M.1.1
84,3_8_M,F20,bladder cell,F20.D041914.3_8_M.1.1
94,3_8_M,K22,bladder cell,K22.D041914.3_8_M.1.1
97,3_8_M,I17,bladder cell,I17.D041914.3_8_M.1.1
95,3_8_M,F22,bladder cell,F22.D041914.3_8_M.1.1
27,3_8_M,E22,bladder cell,E22.D041914.3_8_M.1.1
69,3_8_M,M21,bladder cell,M21.D041914.3_8_M.1.1
54,3_8_M,N21,bladder cell,N21.D041914.3_8_M.1.1
115,3_8_M,P21,bladder cell,P21.D041914.3_8_M.1.1
109,3_8_M,P19,bladder cell,P19.D041914.3_8_M.1.1
103,3_8_M,I20,bladder cell,I20.D041914.3_8_M.1.1
100,3_8_M,I18,bladder cell,I18.D041914.3_8_M.1.1
78,3_8_M,F19,bladder cell,F19.D041914.3_8_M.1.1
104,3_8_M,K2,bladder cell,K2.D041914.3_8_M.1.1
